#  lambda[A]      flux[erg cm^-2 s^-1 A^-1]
 5133.5289     8.575899e-01
 5135.3038     8.474697e-01
 5137.0787     8.944141e-01
 5138.8537     9.000083e-01
 5140.6286     8.665342e-01
 5142.4035     9.440438e-01
 5144.1784     8.898081e-01
 5145.9533     8.772526e-01
 5147.7283     8.711315e-01
 5149.5032     7.990189e-01
 5151.2781     8.238845e-01
 5153.0530     8.786758e-01
 5154.8279     8.453359e-01
 5156.6028     8.080863e-01
 5158.3778     8.881028e-01
 5160.1527     9.066049e-01
 5161.9276     8.677688e-01
 5163.7025     8.681219e-01
 5165.4774     8.752959e-01
 5167.2523     8.045319e-01
 5169.0273     8.124259e-01
 5170.8022     8.226176e-01
 5172.5771     8.222713e-01
 5174.3520     8.100559e-01
 5176.1269     8.433691e-01
 5177.9019     8.184726e-01
 5179.6768     8.407205e-01
 5181.4517     8.340325e-01
 5183.2266     8.827755e-01
 5185.0015     9.642527e-01
 5186.7764     8.606889e-01
 5188.5514     8.581348e-01
 5190.3263     8.985538e-01
 5192.1012     8.178211e-01
 5193.8761     7.818988e-01
 5195.6510     8.499736e-01
 5197.4259     9.251357e-01
 5199.2009     9.404275e-01
 5200.9758     9.081799e-01
 5202.7507     9.088353e-01
 5204.5256     9.243272e-01
 5206.3005     9.465385e-01
 5208.0755     9.538637e-01
 5209.8504     9.606699e-01
 5211.6253     8.829482e-01
 5213.4002     8.706604e-01
 5215.1751     9.176226e-01
 5216.9500     9.324921e-01
 5218.7250     8.796235e-01
 5220.4999     8.665586e-01
 5222.2748     8.581732e-01
 5224.0497     9.153236e-01
 5225.8246     8.950344e-01
 5227.5996     8.626667e-01
 5229.3745     8.502142e-01
 5231.1494     9.340120e-01
 5232.9243     8.951903e-01
 5234.6992     9.008129e-01
 5236.4741     9.509909e-01
