vel[km/s] freq[MHz]   fv[mJy]      polyfit
   527.9  1417.908846    -0.0317   -41.2295
   536.2  1417.869784     3.7780   -41.2828
   544.5  1417.830721    -8.2220   -41.3367
   552.8  1417.791659   -24.8700   -41.3913
   561.0  1417.752596   -22.8700   -41.4467
   569.3  1417.713534    -7.0620   -41.5026
   577.6  1417.674471    -9.2720   -41.5592
   585.9  1417.635409   -18.7500   -41.6165
   594.1  1417.596346   -12.1600   -41.6743
   602.4  1417.557284    11.5500   -41.7328
   610.7  1417.518221    18.7200   -41.7919
   619.0  1417.479159    -4.0320   -41.8516
   627.3  1417.440096   -15.9500   -41.9118
   635.5  1417.401034   -13.9000   -41.9726
   643.8  1417.361971    -9.6620   -42.0339
   652.1  1417.322909    -4.8220   -42.0958
   660.4  1417.283846   -19.3500   -42.1582
   668.7  1417.244784   -42.1900   -42.2212
   676.9  1417.205721   -52.5400   -42.2846
   685.2  1417.166659   -62.1300   -42.3484
   693.5  1417.127596   -71.7000   -42.4128
   701.8  1417.088534   -49.5100   -42.4776
   710.1  1417.049471   -17.4300   -42.5429
   718.4  1417.010409   -18.5400   -42.6086
   726.6  1416.971346   -44.7000   -42.6747
   734.9  1416.932284   -80.7400   -42.7412
   743.2  1416.893221   -95.8900   -42.8080
   751.5  1416.854159   -74.2700   -42.8753
   759.8  1416.815096   -56.1700   -42.9429
   768.1  1416.776034   -66.3000   -43.0108
   776.4  1416.736971   -72.9700   -43.0790
   784.6  1416.697909   -69.9100   -43.1476
   792.9  1416.658846   -89.1200   -43.2164
   801.2  1416.619784  -101.5000   -43.2855
   809.5  1416.580721   -94.7200   -43.3549
   817.8  1416.541659  -110.2000   -43.4245
   826.1  1416.502596  -115.3000   -43.4943
   834.4  1416.463534   -86.9500   -43.5643
   842.7  1416.424471   -78.2900   -43.6345
   851.0  1416.385409   -96.7900   -43.7049
   859.2  1416.346346  -102.6000   -43.7754
   867.5  1416.307284   -95.4000   -43.8461
   875.8  1416.268221   -93.5900   -43.9168
   884.1  1416.229159   -79.0400   -43.9877
   892.4  1416.190096   -49.9000   -44.0587
   900.7  1416.151034   -52.5300   -44.1297
   909.0  1416.111971   -71.3100   -44.2007
   917.3  1416.072909   -58.8800   -44.2718
   925.6  1416.033846   -50.8700   -44.3429
   933.9  1415.994784   -66.1800   -44.4140
   942.2  1415.955721   -80.7700   -44.4850
   950.5  1415.916659   -96.6800   -44.5559
   958.8  1415.877596   -98.2600   -44.6268
   967.1  1415.838534   -78.6600   -44.6977
   975.4  1415.799471   -65.1200   -44.7683
   983.7  1415.760409   -40.0800   -44.8389
   992.0  1415.721346    -8.9720   -44.9093
  1000.3  1415.682284    -6.7220   -44.9795
  1008.6  1415.643221   -26.3900   -45.0495
  1016.9  1415.604159   -59.8000   -45.1193
  1025.2  1415.565096   -77.0400   -45.1889
  1033.5  1415.526034   -83.1300   -45.2582
  1041.8  1415.486971   -72.2700   -45.3272
  1050.1  1415.447909   -31.8800   -45.3959
  1058.4  1415.408846   -15.4500   -45.4642
  1066.7  1415.369784   -14.2100   -45.5323
  1075.0  1415.330721   -20.9600   -45.5999
  1083.3  1415.291659   -22.5100   -45.6672
  1091.6  1415.252596     2.2380   -45.7340
  1099.9  1415.213534    -3.6120   -45.8004
  1108.2  1415.174471   -21.7400   -45.8663
  1116.5  1415.135409    -9.5220   -45.9317
  1124.8  1415.096346     3.1380   -45.9967
  1133.1  1415.057284    -0.1817   -46.0611
  1141.4  1415.018221    -6.7620   -46.1249
  1149.7  1414.979159     0.0683   -46.1881
  1158.1  1414.940096     7.3580   -46.2507
  1166.4  1414.901034    -4.3620   -46.3127
  1174.7  1414.861971   -23.3700   -46.3741
  1183.0  1414.822909   -26.5100   -46.4347
  1191.3  1414.783846   -19.8100   -46.4947
  1199.6  1414.744784    -6.8620   -46.5539
  1207.9  1414.705721    20.8300   -46.6123
  1216.2  1414.666659    14.1800   -46.6700
  1224.5  1414.627596   -27.6800   -46.7268
  1232.8  1414.588534   -35.9800   -46.7829
  1241.2  1414.549471   -14.8900   -46.8380
  1249.5  1414.510409   -10.0000   -46.8922
  1257.8  1414.471346   -31.6900   -46.9456
  1266.1  1414.432284   -48.9700   -46.9980
  1274.4  1414.393221   -53.2300   -47.0494
  1282.7  1414.354159   -63.5400   -47.0998
  1291.0  1414.315096   -67.7600   -47.1492
  1299.4  1414.276034   -62.4300   -47.1976
  1307.7  1414.236971   -64.4100   -47.2448
  1316.0  1414.197909   -70.2600   -47.2910
  1324.3  1414.158846   -75.9700   -47.3360
  1332.6  1414.119784   -67.7100   -47.3798
  1340.9  1414.080721   -41.9500   -47.4225
  1349.3  1414.041659   -38.5900   -47.4639
  1357.6  1414.002596   -52.7900   -47.5041
  1365.9  1413.963534   -62.7100   -47.5430
  1374.2  1413.924471   -67.3700   -47.5805
  1382.5  1413.885409   -53.5900   -47.6168
  1390.9  1413.846346   -30.1400   -47.6517
  1399.2  1413.807284   -28.9300   -47.6851
  1407.5  1413.768221   -52.9700   -47.7172
  1415.8  1413.729159   -64.8900   -47.7477
  1424.2  1413.690096   -58.9000   -47.7768
  1432.5  1413.651034   -55.9600   -47.8044
  1440.8  1413.611971   -59.0100   -47.8304
  1449.1  1413.572909   -55.3800   -47.8548
  1457.5  1413.533846   -55.1200   -47.8776
  1465.8  1413.494784   -68.4600   -47.8988
  1474.1  1413.455721   -68.7900   -47.9183
  1482.4  1413.416659   -60.4800   -47.9361
  1490.8  1413.377596   -53.7500   -47.9521
  1499.1  1413.338534   -47.8100   -47.9664
  1507.4  1413.299471   -48.8300   -47.9788
  1515.7  1413.260409   -44.7200   -47.9894
  1524.1  1413.221346   -52.7200   -47.9982
  1532.4  1413.182284   -80.0700   -48.0050
  1540.7  1413.143221   -92.2100   -48.0099
  1549.1  1413.104159   -88.6100   -48.0129
  1557.4  1413.065096   -82.3300   -48.0138
  1565.7  1413.026034   -61.8400   -48.0127
  1574.0  1412.986971   -42.7500   -48.0095
  1582.4  1412.947909   -45.7200   -48.0042
  1590.7  1412.908846   -52.6100   -47.9967
  1599.0  1412.869784   -42.8800   -47.9871
  1607.4  1412.830721   -26.0100   -47.9753
  1615.7  1412.791659   -29.8000   -47.9613
  1624.0  1412.752596   -49.0100   -47.9449
  1632.4  1412.713534   -56.9200   -47.9263
  1640.7  1412.674471   -50.3100   -47.9053
  1649.0  1412.635409   -48.3800   -47.8819
  1657.4  1412.596346   -40.9400   -47.8561
  1665.7  1412.557284   -30.2600   -47.8278
